;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 13-Jun-13 4:43:34 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x06EF940C  	JMP        _main
0x0004	0x0000940C  	JMP        0
0x0008	0x0000940C  	JMP        0
0x000C	0x0000940C  	JMP        0
0x0010	0x0000940C  	JMP        0
0x0014	0x0000940C  	JMP        0
0x0018	0x0000940C  	JMP        0
0x001C	0x0000940C  	JMP        0
0x0020	0x0000940C  	JMP        0
0x0024	0x0000940C  	JMP        0
0x0028	0x0000940C  	JMP        0
0x002C	0x0000940C  	JMP        0
0x0030	0x0000940C  	JMP        0
0x0034	0x0000940C  	JMP        0
0x0038	0x0000940C  	JMP        0
0x003C	0x0000940C  	JMP        0
0x0040	0x0000940C  	JMP        0
0x0044	0x0000940C  	JMP        0
0x0048	0x0000940C  	JMP        0
0x004C	0x0000940C  	JMP        0
0x0050	0x0000940C  	JMP        0
_main:
0x0DDE	0xE5BF    	LDI        R27, 95
0x0DE0	0xBFBD    	OUT        SPL+0, R27
0x0DE2	0xE0B8    	LDI        R27, 8
0x0DE4	0xBFBE    	OUT        SPL+1, R27
0x0DE6	0x07CD940E  	CALL       1997
;Buzzer.c,59 :: 		void main()
;Buzzer.c,61 :: 		DDD2_bit = 0;                              // Set PD2 as input
0x0DEA	0x922F    	PUSH       R2
0x0DEC	0x923F    	PUSH       R3
0x0DEE	0x924F    	PUSH       R4
0x0DF0	0x925F    	PUSH       R5
0x0DF2	0xB3B1    	IN         R27, DDD2_bit+0
0x0DF4	0x7FBB    	CBR        R27, 4
0x0DF6	0xBBB1    	OUT        DDD2_bit+0, R27
;Buzzer.c,62 :: 		PORTD2_bit = 1;                            // Enable pullup
0x0DF8	0xB3B2    	IN         R27, PORTD2_bit+0
0x0DFA	0x60B4    	SBR        R27, 4
0x0DFC	0xBBB2    	OUT        PORTD2_bit+0, R27
;Buzzer.c,64 :: 		Sound_Init(&PORTB,3);                      // Initialize sound pin
0x0DFE	0xE0B3    	LDI        R27, 3
0x0E00	0x2E4B    	MOV        R4, R27
0x0E02	0xE3B8    	LDI        R27, lo_addr(PORTB+0)
0x0E04	0x2E2B    	MOV        R2, R27
0x0E06	0xE0B0    	LDI        R27, hi_addr(PORTB+0)
0x0E08	0x2E3B    	MOV        R3, R27
0x0E0A	0xDB9B    	RCALL      _Sound_Init+0
;Buzzer.c,65 :: 		Lcd_Init();                                // Initialize LCD
0x0E0C	0xDA7E    	RCALL      _Lcd_Init+0
;Buzzer.c,66 :: 		Lcd_Cmd(_LCD_CLEAR);                       // Clear display
0x0E0E	0xE0B1    	LDI        R27, 1
0x0E10	0x2E2B    	MOV        R2, R27
0x0E12	0xDF3C    	RCALL      _Lcd_Cmd+0
;Buzzer.c,67 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);                  // Cursor off
0x0E14	0xE0BC    	LDI        R27, 12
0x0E16	0x2E2B    	MOV        R2, R27
0x0E18	0xDF39    	RCALL      _Lcd_Cmd+0
;Buzzer.c,68 :: 		Delay_ms(100);
0x0E1A	0xE029    	LDI        R18, 9
0x0E1C	0xE11E    	LDI        R17, 30
0x0E1E	0xEE05    	LDI        R16, 229
L_main0:
0x0E20	0x950A    	DEC        R16
0x0E22	0xF7F1    	BRNE       L_main0
0x0E24	0x951A    	DEC        R17
0x0E26	0xF7E1    	BRNE       L_main0
0x0E28	0x952A    	DEC        R18
0x0E2A	0xF7D1    	BRNE       L_main0
0x0E2C	0x0000    	NOP
;Buzzer.c,70 :: 		Lcd_Out(1,1, "Press the button");          // Show "Press the button" on LCD
0x0E2E	0xEEBF    	LDI        R27, lo_addr(?lstr1_Buzzer+0)
0x0E30	0x2E4B    	MOV        R4, R27
0x0E32	0xE0B0    	LDI        R27, hi_addr(?lstr1_Buzzer+0)
0x0E34	0x2E5B    	MOV        R5, R27
0x0E36	0xE0B1    	LDI        R27, 1
0x0E38	0x2E3B    	MOV        R3, R27
0x0E3A	0xE0B1    	LDI        R27, 1
0x0E3C	0x2E2B    	MOV        R2, R27
0x0E3E	0xDF88    	RCALL      _Lcd_Out+0
;Buzzer.c,71 :: 		Lcd_Out(2,1, "to start music");            // Show "to start music" on LCD
0x0E40	0xEBB5    	LDI        R27, lo_addr(?lstr2_Buzzer+0)
0x0E42	0x2E4B    	MOV        R4, R27
0x0E44	0xE0B0    	LDI        R27, hi_addr(?lstr2_Buzzer+0)
0x0E46	0x2E5B    	MOV        R5, R27
0x0E48	0xE0B1    	LDI        R27, 1
0x0E4A	0x2E3B    	MOV        R3, R27
0x0E4C	0xE0B2    	LDI        R27, 2
0x0E4E	0x2E2B    	MOV        R2, R27
0x0E50	0xDF7F    	RCALL      _Lcd_Out+0
;Buzzer.c,73 :: 		while (1)
L_main2:
;Buzzer.c,75 :: 		if(PIND2_bit==0)
0x0E52	0xB3B0    	IN         R27, PIND2_bit+0
0x0E54	0xFDB2    	SBRC       R27, 2
0x0E56	0xC023    	RJMP       L_main4
;Buzzer.c,77 :: 		Twinkle();                          // Call the function twinkle
0x0E58	0xDBA2    	RCALL      _Twinkle+0
;Buzzer.c,78 :: 		Lcd_Cmd(_LCD_CLEAR);                // Clear LCD
0x0E5A	0xE0B1    	LDI        R27, 1
0x0E5C	0x2E2B    	MOV        R2, R27
0x0E5E	0xDF16    	RCALL      _Lcd_Cmd+0
;Buzzer.c,79 :: 		Delay_ms(1000);                     // Wait for 1000 milisecond
0x0E60	0xE522    	LDI        R18, 82
0x0E62	0xE21B    	LDI        R17, 43
0x0E64	0xE000    	LDI        R16, 0
L_main5:
0x0E66	0x950A    	DEC        R16
0x0E68	0xF7F1    	BRNE       L_main5
0x0E6A	0x951A    	DEC        R17
0x0E6C	0xF7E1    	BRNE       L_main5
0x0E6E	0x952A    	DEC        R18
0x0E70	0xF7D1    	BRNE       L_main5
0x0E72	0x0000    	NOP
0x0E74	0x0000    	NOP
0x0E76	0x0000    	NOP
0x0E78	0x0000    	NOP
;Buzzer.c,80 :: 		Lcd_Out(1,1, "Press the button");   // Show "Press the button" on LCD
0x0E7A	0xECB4    	LDI        R27, lo_addr(?lstr3_Buzzer+0)
0x0E7C	0x2E4B    	MOV        R4, R27
0x0E7E	0xE0B0    	LDI        R27, hi_addr(?lstr3_Buzzer+0)
0x0E80	0x2E5B    	MOV        R5, R27
0x0E82	0xE0B1    	LDI        R27, 1
0x0E84	0x2E3B    	MOV        R3, R27
0x0E86	0xE0B1    	LDI        R27, 1
0x0E88	0x2E2B    	MOV        R2, R27
0x0E8A	0xDF62    	RCALL      _Lcd_Out+0
;Buzzer.c,81 :: 		Lcd_Out(2,1, "to start music");     // Show "to start music" on LCD
0x0E8C	0xEAB6    	LDI        R27, lo_addr(?lstr4_Buzzer+0)
0x0E8E	0x2E4B    	MOV        R4, R27
0x0E90	0xE0B0    	LDI        R27, hi_addr(?lstr4_Buzzer+0)
0x0E92	0x2E5B    	MOV        R5, R27
0x0E94	0xE0B1    	LDI        R27, 1
0x0E96	0x2E3B    	MOV        R3, R27
0x0E98	0xE0B2    	LDI        R27, 2
0x0E9A	0x2E2B    	MOV        R2, R27
0x0E9C	0xDF59    	RCALL      _Lcd_Out+0
;Buzzer.c,82 :: 		}
L_main4:
;Buzzer.c,83 :: 		}
0x0E9E	0xCFD9    	RJMP       L_main2
;Buzzer.c,84 :: 		}
L_end_main:
L__main_end_loop:
0x0EA0	0xCFFF    	RJMP       L__main_end_loop
; end of _main
_Sound_Init:
;__Lib_Sound.c,8 :: 		
;__Lib_Sound.c,10 :: 		
0x0542	0x2DB4    	MOV        R27, R4
0x0544	0xE031    	LDI        R19, 1
0x0546	0x23BB    	TST        R27
0x0548	0xF019    	BREQ       L__Sound_Init14
L__Sound_Init13:
0x054A	0x0F33    	LSL        R19
0x054C	0x95BA    	DEC        R27
0x054E	0xF7E9    	BRNE       L__Sound_Init13
L__Sound_Init14:
0x0550	0x015D9330  	STS        __Lib_Sound_bit_mask_1+0, R19
;__Lib_Sound.c,11 :: 		
0x0554	0x2F03    	MOV        R16, R19
0x0556	0x9500    	COM        R16
0x0558	0x015E9300  	STS        __Lib_Sound_bit_mask_0+0, R16
;__Lib_Sound.c,12 :: 		
0x055C	0x01599220  	STS        __Lib_Sound_port_addr+0, R2
0x0560	0x015A9230  	STS        __Lib_Sound_port_addr+1, R3
;__Lib_Sound.c,13 :: 		
0x0564	0x2D12    	MOV        R17, R2
0x0566	0x2D23    	MOV        R18, R3
0x0568	0x5011    	SUBI       R17, 1
0x056A	0x4020    	SBCI       R18, 0
0x056C	0x015B9310  	STS        __Lib_Sound_ddr_addr+0, R17
0x0570	0x015C9320  	STS        __Lib_Sound_ddr_addr+1, R18
;__Lib_Sound.c,18 :: 		
0x0574	0x2FE1    	MOV        R30, R17
0x0576	0x2FF2    	MOV        R31, R18
0x0578	0x8100    	LD         R16, Z
0x057A	0x2B03    	OR         R16, R19
0x057C	0x2FE1    	MOV        R30, R17
0x057E	0x2FF2    	MOV        R31, R18
0x0580	0x8300    	ST         Z, R16
;__Lib_Sound.c,22 :: 		
0x0582	0x015991E0  	LDS        R30, __Lib_Sound_port_addr+0
0x0586	0x015A91F0  	LDS        R31, __Lib_Sound_port_addr+1
0x058A	0x8110    	LD         R17, Z
0x058C	0x015E9100  	LDS        R16, __Lib_Sound_bit_mask_0+0
0x0590	0x2301    	AND        R16, R17
0x0592	0x015991E0  	LDS        R30, __Lib_Sound_port_addr+0
0x0596	0x015A91F0  	LDS        R31, __Lib_Sound_port_addr+1
0x059A	0x8300    	ST         Z, R16
;__Lib_Sound.c,25 :: 		
L_end_Sound_Init:
0x059C	0x9508    	RET
; end of _Sound_Init
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x030A	0x003291B0  	LDS        R27, LCD_EN+0
0x030E	0x7BBF    	CBR        R27, 64
0x0310	0x003293B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.c,87 :: 		
0x0314	0x003291B0  	LDS        R27, LCD_RS+0
0x0318	0x7EBF    	CBR        R27, 16
0x031A	0x003293B0  	STS        LCD_RS+0, R27
;__Lib_Lcd.c,88 :: 		
0x031E	0x003591B0  	LDS        R27, LCD_D7+0
0x0322	0x77BF    	CBR        R27, 128
0x0324	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.c,89 :: 		
0x0328	0x003591B0  	LDS        R27, LCD_D6+0
0x032C	0x7BBF    	CBR        R27, 64
0x032E	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.c,90 :: 		
0x0332	0x003591B0  	LDS        R27, LCD_D5+0
0x0336	0x7DBF    	CBR        R27, 32
0x0338	0x003593B0  	STS        LCD_D5+0, R27
